libelleOrg;idMemo;typeOrganisme;ancienNom;paysOrg;adresseComplAdresseOrg;adresseVoieNumeroOrg;adresseVoieExtOuIndRepOrg;adresseVoieTypeVoieOrg;adresseVoieNomVoieOrg;adresseMentionsDistribOrg;adresseAcheminPostalCedexOrg;adresseAcheminPostalLibelleCedexOrg;adresseCodePostalOrg;adresseCommuneOrg;adresseCodeInseeOrg;interneMUMuseeDeFrance;natureOrganisme;libelleOffre;typeOffre;themes;horaire;tarifs;conditions;premiereOuverture;ouvertureExceptionnelle;hebdoEstOuvertLundi;hebdoEstOuvertMardi;hebdoEstOuvertMercredi;hebdoEstOuvertJeudi;hebdoEstOuvertVendredi;hebdoEstOuvertSamedi;hebdoEstOuvertDimanche;periodeDateDebut;periodeDateFin;temporaire;joursExceptionnels;gratuit;libelleLieu;typesLieu;batiment;accesHandicapes;adresseComplAdresseLieu;adresseVoieNumeroLieu;adresseVoieExtOuIndRepLieu;adresseVoieTypeVoieLieu;adresseVoieNomVoieLieu;adresseMentionsDistribLieu;adresseAcheminPostalCedexLieu;adresseAcheminPostalLibelleCedexLieu;adresseCodePostalLieu;adresseCommuneLieu;adresseCodeInseeLieu;interneClasse;interneDateClasse;interneInscrit;interneDateInscrit;interneElementClasseOuInscrit;interneEspaceProtege;interneEtendueProtection;paysLieu
40MCUBE;66922;Organisme d'Arts plastiques;40mcube ;France;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;Centre d'art contemporain;Black Room;Projection;Cinéma - Multimédia) Cinéma|Cinéma;du mardi au samedi de 14h à 18h;Entrée libre;;0;0;0;0;0;0;0;0;0;01/02/11;28/02/11;1;;1;40MCUBE;;;1;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;;0;;;;;France
40MCUBE;66922;Organisme d'Arts plastiques;40mcube ;France;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;Centre d'art contemporain;Jonas Dahlberg, Invisible Cities;Exposition temporaire;Art contemporain|Cinéma - Multimédia) Cinéma|Cinéma;Ma-Sa 14h-18h;Entrée libre;;0;0;0;0;0;0;0;0;0;01/04/11;30/04/11;1;;1;40MCUBE;;;1;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;;0;;;;;France
40MCUBE;66922;Organisme d'Arts plastiques;40mcube ;France;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;Centre d'art contemporain;Résidence - Antoine Dorotte;Exposition temporaire;Art contemporain|Arts - Expos) Design et art contemporain;;;;0;0;0;0;0;0;0;0;0;01/03/10;28/02/11;1;;;40MCUBE;;;1;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;;0;;;;;France
40MCUBE;66922;Organisme d'Arts plastiques;40mcube ;France;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;Centre d'art contemporain;RN 137 / Douze artistes émergents de Nantes et Rennes;Exposition temporaire;Arts - Expos) Pluridisciplinaire;Ma-Sa 14h-18h;Gratuit;;0;0;0;0;0;0;0;0;0;19/11/11;17/12/11;1;;1;40MCUBE;;;1;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;;0;;;;;France
40MCUBE;66922;Organisme d'Arts plastiques;40mcube ;France;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;Centre d'art contemporain;Sarah Fauguet & David Cousinard, «We can never go back to Manderley»;Spectacle;Art contemporain|Arts - Expos) Design et art contemporain|Arts - Expos) Peinture, dessin,sculpture|sculpture;Ma-Sa 14h-18h;;;0;0;0;0;0;0;0;0;0;23/04/11;16/07/11;1;;1;40MCUBE;;;1;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;;0;;;;;France
40MCUBE;66922;Organisme d'Arts plastiques;40mcube ;France;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;Centre d'art contemporain;Smears. Ida Tursic et Wilfried Mille;Exposition temporaire;Art contemporain|Arts - Expos) Design et art contemporain|Beaux arts|peinture;du mardi au samedi de 14h à 18h;Entrée libre;;0;0;0;0;0;0;0;0;0;21/01/11;19/03/11;1;;1;40MCUBE;;;1;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;;0;;;;;France
40MCUBE;66922;Organisme d'Arts plastiques;40mcube ;France;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;Centre d'art contemporain;Smoke, un film de Fleur Noguera;Projection;Art contemporain|Arts - Expos) Design et art contemporain|Cinéma;Du mardi au samedi de 14h à 18h;Entrée libre;;0;0;0;0;0;0;0;0;0;17/09/11;12/11/11;1;;1;40MCUBE;;;1;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;;0;;;;;France
40MCUBE;66922;Organisme d'Arts plastiques;40mcube ;France;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;Centre d'art contemporain;Stranger by Green - Yann Gerstberger;Exposition temporaire;Art contemporain|Arts - Expos) Design et art contemporain;Ouvert du mardi au samedi de 14h à 18h. Fermé les jours fériés.;Entrée libre;;0;0;0;0;0;0;0;0;0;17/09/11;22/11/11;1;;1;40MCUBE;;;1;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;;0;;;;;France
40MCUBE;66922;Organisme d'Arts plastiques;40mcube ;France;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;Centre d'art contemporain;Stripes (2011), Florian et Michaël Quistrebert ;Projection;;Du mardi au samedi de 14h à 18h.  Fermé les jours fériés.  Entrée libre.   Projection en boucle.;;;0;0;0;0;0;0;0;0;0;01/06/11;16/07/11;1;;1;40MCUBE;;;1;Centre d'art;48;;avenue;Sergent Maginot;;;RENNES;35000;Rennes;35238;0;;0;;;;;France
5,25 - RÉSEAU D'ART CONTEMPORAIN EN LIMOUSIN;742759;Organisme d'Arts plastiques;;France;;;;;;;;LIMOGES;87000;Limoges;87085;0;;Les Echappées, art contemporain etc.;Circuit;Art contemporain|Arts - Expos) Design et art contemporain;;Gratuit (circuit à pied) / 8 TR 5 réduit (circuit en bus);;0;0;0;0;0;0;0;0;0;01/01/11;31/12/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
5,25 - RÉSEAU D'ART CONTEMPORAIN EN LIMOUSIN;742759;Organisme d'Arts plastiques;;France;;;;;;;;LIMOGES;87000;Limoges;87085;0;;Les Echappées... à Limoges;Circuit;Art contemporain|Arts - Expos) Design et art contemporain;De 14h30 à 18h;8 TR 5 / gratuit -12ans;;0;0;0;0;0;0;0;0;0;21/05/11;21/05/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
5,25 - RÉSEAU D'ART CONTEMPORAIN EN LIMOUSIN;742759;Organisme d'Arts plastiques;;France;;;;;;;;LIMOGES;87000;Limoges;87085;0;;Les Echappées... en Creuse;Circuit;Art contemporain|Arts - Expos) Design et art contemporain;9h-19h30;8 TR5 / gratuit -12ans + pique-nique à prévoir;;0;0;0;0;0;0;0;0;0;04/06/11;04/06/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
5,25 - RÉSEAU D'ART CONTEMPORAIN EN LIMOUSIN;742759;Organisme d'Arts plastiques;;France;;;;;;;;LIMOGES;87000;Limoges;87085;0;;Les Echappées  en Corrèze;Circuit;Art contemporain|Arts - Expos) Design et art contemporain;9h-19h30;8 TR 5 / gratuit -12ans + pique-nique à prévoir;;0;0;0;0;0;0;0;0;0;28/08/11;28/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
5,25 - RÉSEAU D'ART CONTEMPORAIN EN LIMOUSIN;742759;Organisme d'Arts plastiques;;France;;;;;;;;LIMOGES;87000;Limoges;87085;0;;Les Echappées  en Haute Vienne;Circuit;Art contemporain|Arts - Expos) Design et art contemporain;10h-19h30;8 TR 5 / gratuit -12ans + pique-nique à prévoir;;0;0;0;0;0;0;0;0;0;09/07/11;09/07/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
8TH DIVISION COAST DEFENCE'S MUSEUM;310360;Musées;;Pologne;;;;;;;;;75-708;Koszalin;;0;;Night of Museums at Koszalin;Visite du lieu;Autour des collections ;18:00 - 00:00;;;0;0;0;0;0;0;0;0;0;14/05/11;14/05/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
À LA DÉCOUVERTE DE JARDINS PRIVÉS DE COLOMBES;740281;Autres;;France;Mairie de Colombes, Hêtel de ville;;;Place de la République;;;;COLOMBES;92700;Colombes;92025;0;autres organismes publics;"Jardins privés de Colombes", événement RdV aux jardins et la Journée de l'Environnement;Circuit;Environnement - écologie;sam-dim 11h;;Sur réservation au 01 47 60 83 08  Date d'ouverture des inscriptions le 3 mai 2010;0;1;0;0;0;0;0;1;1;03/06/11;05/06/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A LA DÉCOUVERTE DE LA ROCHELLE;31099;Monument ou site;;France;;;;;;;;;17000;La Rochelle;17300;0;;Visites de jardins et animations diverses;Circuit;;Vend, sam et dim;;;0;0;0;0;0;0;0;0;0;04/06/11;05/06/11;1;;1;DIVERS LIEUX DE LA ROCHELLE;;;0;;;;;;;;LA ROCHELLE;17000;La Rochelle;17300;0;;0;;;;;France
À LA DÉCOUVERTE DE SAINTE-MARIE-DE-RÉ;742810;Monument ou site;;France;;;;;;;;STE MARIE DE RE;17740;Sainte-Marie-de-Ré;17360;0;;Circuit à pied ou à vélo;Circuit;;Dim 9h30-12h30/14h30-17h30;;Réservation obligatoire à l'OT - départ de l'OT.;1;1;0;0;0;0;0;0;0;03/06/11;05/06/11;1;;1;À LA DÉCOUVERTE DE SAINTE-MARIE-DE-RÉ;;;0;;;;;;;;STE MARIE DE RE;17740;Sainte-Marie-de-Ré;17360;0;;0;;;;;France
A LA FRANÇAISE;743016;Monument ou site;;France;46/48 route de lyon;;;;;;;MACON;71000;Mâcon;71270;0;;Rendez-vous aux jardins;Visite du lieu;;Vendredi 3 juin:9h-12h / 14h-18h  Samdei 4 juin:9h-12h / 14h-18h  Dimanche 5 juin:10h-18h;;;1;0;0;0;0;0;1;1;1;03/06/11;05/06/11;1;;1;A LA FRANÇAISE;;;1;46/48 route de lyon;;;;;;;MACON;71000;Mâcon;71270;0;;0;;;;;France
A LA MODE ET DU TEXTILE;5453;Musées;;France;;107;;rue;de Rivoli;;;;75001;Paris 1er;75101;1;;Collection;Offre permanente : musée, salle de lecture;Arts décoratifs|Costume;De 11h à 18h. Nocturne le mercredi jusqu'à 21h. Les samedi et dimanche de 10h à 18h.#Fermeture annuelle   : Le lundi et les 1er mai, 25 décembre et 1er janvier.#Ouvert toute l'année : Oui;- Plein : (Tarif unique pour les Musées des Arts Déco., de la Mode et du Textile et de la Publicité.)# - Gratuité : (pour les moins de 18 ans dans les collections permanentes.);;0;0;0;0;0;0;0;0;0;;;;;;MODE ET TEXTILE;;;0;;107;;rue;de Rivoli;;;PARIS;75001;Paris 1er;75101;0;;0;;;;PROTECTION BATIMENT : Classement au titre des Monuments HistoriquesPROTECTION ESPACE : Site Classé;France
À RENOMMER;67478;Monument ou site;doublon;France;;30;;;rue Maurice Gignoux;;;GRENOBLE;38000;Grenoble;38185;0;;Exposition "Vaucanson, l'homme et la machine".;Conférence (débat, colloque);;;;;0;0;0;0;0;0;0;0;0;10/04/10;15/12/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;"Mer agitée à peu agitée", conte musical;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;09h30 et 10h30 (spectacle musical petite enfance de 1 à 4 ans);Entrée libre;;0;0;0;0;0;0;0;0;0;17/11/11;17/11/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;"Moi, bénévole, acteur engagé et solidaire" - Exposition du secours populaire français;Exposition temporaire;Photographie|Arts - Expos) Photo et vidéo;;;;0;0;0;0;0;0;0;0;0;14/11/11;03/12/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Agathe Bloutin | Chorale Delamour | Les d'moiselles;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;À partir de 18h00;Sur invitation;;0;0;0;0;0;0;0;0;0;14/11/11;14/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Amélie Affagard;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;20h30;TU 6,50;;0;0;0;0;0;0;0;0;0;18/11/11;18/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Battan L'Otto;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;19h30;5 / 7 / 10;;0;0;0;0;0;0;0;0;0;23/11/11;23/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Birgit Yew;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;20h30;5 / 7 / 10;;0;0;0;0;0;0;0;0;0;24/11/11;24/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Boann;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;20h30;Entrée libre;;0;0;0;0;0;0;0;0;0;18/11/11;18/11/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Brigitte;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;20h30;9 / 15 / 18;;0;0;0;0;0;0;0;0;0;25/11/11;25/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Catherine Perrier;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;19h00;8 / 10 / Gratuit -11 ans;;0;0;0;0;0;0;0;0;0;25/11/11;25/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Chants d'Elles (12e);Festival, biennale;Musique|Musiques - Concerts) Scènes et concerts;;Tarifs réduits avec le Pass Chants d'elles 5.;;0;0;0;0;0;0;0;0;0;14/11/11;04/12/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Dawn Tyler Watson | Mamani Keita;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;20h30;7,50 / 10,80;;0;0;0;0;0;0;0;0;0;24/11/11;24/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Delphine Morel;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;15h00;10 / 12;;0;0;0;0;0;0;0;0;0;20/11/11;20/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Florence Marty & Silvia Morini;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;15h00;Entrée libre;;0;0;0;0;0;0;0;0;0;16/11/11;16/11/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Karimouche + Les roues sous un parapluie;Spectacle;Musique|Variété - Chanson|Musiques - Concerts) Scènes et concerts;16h;TN 12 / TR 9;;0;0;0;0;0;0;0;0;0;05/03/11;05/03/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;L'ensommeilleuse (Compagnie Accords de Voix);Spectacle;Musique|Musiques - Concerts) Scènes et concerts;15h00 (spectacle jeune public, à partir de 3 ans);Gratuit;;0;0;0;0;0;0;0;0;0;16/11/11;16/11/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Le Prince Miiaou | Alina orlova;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;20h30;7,50 / 10,80;;0;0;0;0;0;0;0;0;0;17/11/11;17/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Marianne Aya Omac | Dawn Tyler Watson;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;20h30;7,40 / 9,40;;0;0;0;0;0;0;0;0;0;25/11/11;25/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Marie Carrié duo;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;21h00;7 / TÉt 5 / Gratuit -12ans;;0;0;0;0;0;0;0;0;0;25/11/11;25/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Marita Trio / 32 (1ère Partie);Spectacle;Musique|Musiques - Concerts) Scènes et concerts;20h30;TU 5;;0;0;0;0;0;0;0;0;0;18/11/11;18/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Maryvonne Le Berre;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;18h30;TU 15;;0;0;0;0;0;0;0;0;0;18/11/11;18/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Maryvonne Le Berre;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;19h00 (apéro spectacle);TU 8;;0;0;0;0;0;0;0;0;0;19/11/11;19/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Mélouka Fara;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;18h30;Entrée libre;;0;0;0;0;0;0;0;0;0;25/11/11;25/11/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Natha L (duo);Spectacle;Musique|Musiques - Concerts) Scènes et concerts;15h00;Entrée libre;;0;0;0;0;0;0;0;0;0;23/11/11;23/11/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Véronique Pestel dans un caf' conc' aragon;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;20h30;Entrée libre;;0;0;0;0;0;0;0;0;0;22/11/11;22/11/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Vocelli;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;18h00 & 20h30;5 / 7 / 10;;0;0;0;0;0;0;0;0;0;15/11/11;15/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Ziaux et Kelka;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;21h00;12 TR 8 ;;0;0;0;0;0;0;0;0;0;19/11/11;19/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;"Les métiers du spectacle au féminin" Pierre Olingue;Exposition temporaire;Photographie|Arts - Expos) Photo et vidéo;;Entrée libre;;0;0;0;0;0;0;0;0;0;14/11/11;03/12/11;1;;1;BUREAU DE L'ASSOCIATION;;;0;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;0;;;;;France
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Arsene Lupunk Trio + HK & Les Saltimbanques;Spectacle;Musique|Variété - Chanson|Musiques - Concerts) Scènes et concerts;20h30;TN 12 / TR 9;;0;0;0;0;0;0;0;0;0;11/03/11;11/03/11;1;;;BUREAU DE L'ASSOCIATION;;;0;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;0;;;;;France
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Barcelle + From & Ziel;Spectacle;Musique|Variété - Chanson|Musiques - Concerts) Scènes et concerts;20h30;TN 12 / TR 9;;0;0;0;0;0;0;0;0;0;05/03/11;05/03/11;1;;;BUREAU DE L'ASSOCIATION;;;0;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;0;;;;;France
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Batlik & Thomas Pitioi + Brigitte;Spectacle;Musique|Variété - Chanson|Musiques - Concerts) Scènes et concerts;20h30;TN 12 / TR 9;;0;0;0;0;0;0;0;0;0;25/03/11;25/03/11;1;;;BUREAU DE L'ASSOCIATION;;;0;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;0;;;;;France
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Belle du Berry + Taj;Spectacle;Musique|Variété - Chanson|Musiques - Concerts) Scènes et concerts;20h30;TN 12 / TR 9;;0;0;0;0;0;0;0;0;0;19/03/11;19/03/11;1;;;BUREAU DE L'ASSOCIATION;;;0;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;0;;;;;France
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Courir les Rues + Délinquante;Spectacle;Musique|Variété - Chanson|Musiques - Concerts) Scènes et concerts;20h30;TN 12 / TR 9;;0;0;0;0;0;0;0;0;0;26/03/11;26/03/11;1;;;BUREAU DE L'ASSOCIATION;;;0;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;0;;;;;France
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Feloche + Buridane;Spectacle;Musique|Variété - Chanson|Musiques - Concerts) Scènes et concerts;20h30;TN 12 / TR 9;;0;0;0;0;0;0;0;0;0;04/03/11;04/03/11;1;;;BUREAU DE L'ASSOCIATION;;;0;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;0;;;;;France
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Festival de chanson française;Festival, biennale;Musique|Variété - Chanson|Musiques - Concerts) Scènes et concerts;20h30;TN 12 / TR 9;;0;0;0;0;0;0;0;0;0;04/03/11;26/03/11;1;;;BUREAU DE L'ASSOCIATION;;;0;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;0;;;;;France
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Les Rois de la Suède;Spectacle;Musique|Variété - Chanson|Musiques - Concerts) Scènes et concerts;20h30;TN 12 / TR 9;;0;0;0;0;0;0;0;0;0;12/03/11;12/03/11;1;;;BUREAU DE L'ASSOCIATION;;;0;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;0;;;;;France
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Zora + Le Pied de la Pompe;Spectacle;Musique|Variété - Chanson|Musiques - Concerts) Scènes et concerts;20h30;TN 12 / TR 9;;0;0;0;0;0;0;0;0;0;18/03/11;18/03/11;1;;;BUREAU DE L'ASSOCIATION;;;0;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;0;;;;;France
A-EFF   L'ALSACE BOSSUE;66643;Autres;;France;;10;;rue;Paul Paray;;;DIEMERINGEN;67430;Diemeringen;67095;0;autre association;La Sarre à Contes (9e);Festival, biennale;Littérature - Langues)Livres,littérature|Livre et littérature|conte;;;;0;0;0;0;0;0;0;0;0;15/07/11;14/08/11;1;;;SYNDICAT D'INITIATIVE DE L'ALSACE BOSSUE;;;0;;10;;Route;Paul Paray;;;DIEMERINGEN;67430;Diemeringen;67095;0;;0;;;Parc naturel regional;;France
A.H.TAMMSAARE MUSEUM - CITY MUSEUM;313160;Musées;;Estonie;;;;;;;;;10125;Tallinn;;0;;Visit of the museum;Visite du lieu;Autour des collections ;18:00 - 23:00;;;0;0;0;0;0;0;0;0;0;14/05/11;14/05/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A.H.TAMMSAARE MUSEUM IN VARGAMÄE;740608;Musées;;Estonie;;;;;Vetepere küla, Albu vald;;;;73402;Järvamaa;;0;;Night of Museums;<Non renseigné>;;18:00 - 23:00;;;0;0;0;0;0;0;0;0;0;14/05/11;14/05/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;7 images du Diable (Faux et usages de Faust);Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;Le 22 à 15h & 17h, les 23, 24 & 28 à 15h, le 27 à 17h;de 8 à 15;;0;0;0;0;0;0;0;0;0;22/08/11;22/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
