"Nom de l’activité";"Spécialité";"Description";"Nom du centre de santé";"Jour";"Heure de début";"Heure de fin";"Adresse - nom du centre";"Adresse - rue";"Adresse - code postal";"Adresse - ville";"Numéro de téléphone";"Adresse mail";"Site internet";"Latitude";"Longitude"
"Consultation";"Gynécologie";"La gynécologie médicale prend en charge les problèmes médicaux de la femme : contraception, dépistage et traitement des IST, prévention et dépistage des cancers génitaux et mammaires, problèmes de règles et saignements, traitement de la ménopause, stérili";"Centre de santé René Laborie";"Lundi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Gynécologie";"La gynécologie médicale prend en charge les problèmes médicaux de la femme : contraception, dépistage et traitement des IST, prévention et dépistage des cancers génitaux et mammaires, problèmes de règles et saignements, traitement de la ménopause, stérili";"Centre de santé René Laborie";"Lundi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Gynécologie";"La gynécologie médicale prend en charge les problèmes médicaux de la femme : contraception, dépistage et traitement des IST, prévention et dépistage des cancers génitaux et mammaires, problèmes de règles et saignements, traitement de la ménopause, stérili";"Centre de santé René Laborie";"Mercredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Gynécologie";"La gynécologie médicale prend en charge les problèmes médicaux de la femme : contraception, dépistage et traitement des IST, prévention et dépistage des cancers génitaux et mammaires, problèmes de règles et saignements, traitement de la ménopause, stérili";"Centre de santé René Laborie";"Jeudi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Gynécologie";"La gynécologie médicale prend en charge les problèmes médicaux de la femme : contraception, dépistage et traitement des IST, prévention et dépistage des cancers génitaux et mammaires, problèmes de règles et saignements, traitement de la ménopause, stérili";"Centre de santé René Laborie";"Samedi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Homéopathie";"L'homéopathie est une forme de médecine alternative qui consiste à traiter un trouble ou u n dysfonctionnement par un médicament en très petites quantités, présenté sous forme liquide ou de granules.";"Centre de santé René Laborie";"Mardi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Ophtalmologie";"L'ophtalmologie s'intéresse au diagnostic et au traitement des maladies de l'œil et de ses annexes, et à la correction des troubles de la vision.";"Centre de santé René Laborie";"Lundi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Ophtalmologie";"L'ophtalmologie s'intéresse au diagnostic et au traitement des maladies de l'œil et de ses annexes, et à la correction des troubles de la vision.";"Centre de santé René Laborie";"Lundi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Ophtalmologie";"L'ophtalmologie s'intéresse au diagnostic et au traitement des maladies de l'œil et de ses annexes, et à la correction des troubles de la vision.";"Centre de santé René Laborie";"Mardi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Ophtalmologie";"L'ophtalmologie s'intéresse au diagnostic et au traitement des maladies de l'œil et de ses annexes, et à la correction des troubles de la vision.";"Centre de santé René Laborie";"Mardi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Ophtalmologie";"L'ophtalmologie s'intéresse au diagnostic et au traitement des maladies de l'œil et de ses annexes, et à la correction des troubles de la vision.";"Centre de santé René Laborie";"Mercredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Ophtalmologie";"L'ophtalmologie s'intéresse au diagnostic et au traitement des maladies de l'œil et de ses annexes, et à la correction des troubles de la vision.";"Centre de santé René Laborie";"Mercredi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Ophtalmologie";"L'ophtalmologie s'intéresse au diagnostic et au traitement des maladies de l'œil et de ses annexes, et à la correction des troubles de la vision.";"Centre de santé René Laborie";"Jeudi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Ophtalmologie";"L'ophtalmologie s'intéresse au diagnostic et au traitement des maladies de l'œil et de ses annexes, et à la correction des troubles de la vision.";"Centre de santé René Laborie";"Jeudi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Ophtalmologie";"L'ophtalmologie s'intéresse au diagnostic et au traitement des maladies de l'œil et de ses annexes, et à la correction des troubles de la vision.";"Centre de santé René Laborie";"Vendredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Ophtalmologie";"L'ophtalmologie s'intéresse au diagnostic et au traitement des maladies de l'œil et de ses annexes, et à la correction des troubles de la vision.";"Centre de santé René Laborie";"Vendredi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Ophtalmologie";"L'ophtalmologie s'intéresse au diagnostic et au traitement des maladies de l'œil et de ses annexes, et à la correction des troubles de la vision.";"Centre de santé René Laborie";"Samedi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Ostéopathie";"L'ostéopathie est une façon non conventionnelle de prendre en charge certains troubles fonctionnels par des manipulations manuelles du système musculo-squelettique et myofascial, s'apparentant à la chiropraxie qui utilise des manipulations de la colonne v";"Centre de santé René Laborie";"Mercredi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Oto-rhino-laryngologie";"L'oto-rhino-laryngologie (ORL) s'intéresse au diagnostic et au traitement des troubles du nez, de la gorge, de l'oreille et de la région tête–cou : infections, surdité, vertige, tumeur, chirurgie des amygdales, des végétations, des glandes parotides et de";"Centre de santé René Laborie";"Lundi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Oto-rhino-laryngologie";"L'oto-rhino-laryngologie (ORL) s'intéresse au diagnostic et au traitement des troubles du nez, de la gorge, de l'oreille et de la région tête–cou : infections, surdité, vertige, tumeur, chirurgie des amygdales, des végétations, des glandes parotides et de";"Centre de santé René Laborie";"Mardi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Oto-rhino-laryngologie";"L'oto-rhino-laryngologie (ORL) s'intéresse au diagnostic et au traitement des troubles du nez, de la gorge, de l'oreille et de la région tête–cou : infections, surdité, vertige, tumeur, chirurgie des amygdales, des végétations, des glandes parotides et de";"Centre de santé René Laborie";"Mercredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Oto-rhino-laryngologie";"L'oto-rhino-laryngologie (ORL) s'intéresse au diagnostic et au traitement des troubles du nez, de la gorge, de l'oreille et de la région tête–cou : infections, surdité, vertige, tumeur, chirurgie des amygdales, des végétations, des glandes parotides et de";"Centre de santé René Laborie";"Jeudi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Oto-rhino-laryngologie";"L'oto-rhino-laryngologie (ORL) s'intéresse au diagnostic et au traitement des troubles du nez, de la gorge, de l'oreille et de la région tête–cou : infections, surdité, vertige, tumeur, chirurgie des amygdales, des végétations, des glandes parotides et de";"Centre de santé René Laborie";"Vendredi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Phlébologie";"La phlébologie s'intéresse au diagnostic et au traitement des maladies veineuses.";"Centre de santé René Laborie";"Mardi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Phlébologie";"La phlébologie s'intéresse au diagnostic et au traitement des maladies veineuses.";"Centre de santé René Laborie";"Vendredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Pneumologie";"La pneumologie s'intéresse au diagnostic et au traitement des maladies des poumons et de l'appareil respiratoire ( asthme, insuffisance respiratoire, bronchique chronique, tumeur..)";"Centre de santé René Laborie";"Mardi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Pneumologie";"La pneumologie s'intéresse au diagnostic et au traitement des maladies des poumons et de l'appareil respiratoire ( asthme, insuffisance respiratoire, bronchique chronique, tumeur..)";"Centre de santé René Laborie";"Mercredi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Psychiatrie";"La psychiatrie s'intéresse à la prévention, au diagnostic et au traitement des maladies et des troubles mentaux d'origine psychique, neurologique ou psychologique. ";"Centre de santé René Laborie";"Mardi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Psychiatrie";"La psychiatrie s'intéresse à la prévention, au diagnostic et au traitement des maladies et des troubles mentaux d'origine psychique, neurologique ou psychologique. ";"Centre de santé René Laborie";"Mercredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Psychiatrie";"La psychiatrie s'intéresse à la prévention, au diagnostic et au traitement des maladies et des troubles mentaux d'origine psychique, neurologique ou psychologique. ";"Centre de santé René Laborie";"Jeudi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Psychologie";"La psychologie s'intéresse à l'étude du psychisme comme structure de fonctionnement et à l'évaluation des processus mentaux dans leur ensemble en prenant en compte les manifestations de la subjectivité.";"Centre de santé René Laborie";"Lundi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Psychologie";"La psychologie s'intéresse à l'étude du psychisme comme structure de fonctionnement et à l'évaluation des processus mentaux dans leur ensemble en prenant en compte les manifestations de la subjectivité.";"Centre de santé René Laborie";"Lundi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Psychologie";"La psychologie s'intéresse à l'étude du psychisme comme structure de fonctionnement et à l'évaluation des processus mentaux dans leur ensemble en prenant en compte les manifestations de la subjectivité.";"Centre de santé René Laborie";"Mardi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Psychologie";"La psychologie s'intéresse à l'étude du psychisme comme structure de fonctionnement et à l'évaluation des processus mentaux dans leur ensemble en prenant en compte les manifestations de la subjectivité.";"Centre de santé René Laborie";"Mardi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Psychologie";"La psychologie s'intéresse à l'étude du psychisme comme structure de fonctionnement et à l'évaluation des processus mentaux dans leur ensemble en prenant en compte les manifestations de la subjectivité.";"Centre de santé René Laborie";"Mercredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Psychologie";"La psychologie s'intéresse à l'étude du psychisme comme structure de fonctionnement et à l'évaluation des processus mentaux dans leur ensemble en prenant en compte les manifestations de la subjectivité.";"Centre de santé René Laborie";"Mercredi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Psychologie";"La psychologie s'intéresse à l'étude du psychisme comme structure de fonctionnement et à l'évaluation des processus mentaux dans leur ensemble en prenant en compte les manifestations de la subjectivité.";"Centre de santé René Laborie";"Jeudi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Psychologie";"La psychologie s'intéresse à l'étude du psychisme comme structure de fonctionnement et à l'évaluation des processus mentaux dans leur ensemble en prenant en compte les manifestations de la subjectivité.";"Centre de santé René Laborie";"Jeudi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Psychologie";"La psychologie s'intéresse à l'étude du psychisme comme structure de fonctionnement et à l'évaluation des processus mentaux dans leur ensemble en prenant en compte les manifestations de la subjectivité.";"Centre de santé René Laborie";"Vendredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Psychologie";"La psychologie s'intéresse à l'étude du psychisme comme structure de fonctionnement et à l'évaluation des processus mentaux dans leur ensemble en prenant en compte les manifestations de la subjectivité.";"Centre de santé René Laborie";"Vendredi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
